600938 中国海油 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/04/21	11.34	13.93	11.34	12.17	882277284	12124020736.00
2022/04/22	12.89	13.55	12.43	13.55	357664359	5241455616.00
2022/04/25	14.07	14.49	12.16	12.67	598019053	8874383360.00
2022/04/26	12.38	12.65	11.63	12.00	401307298	5502621696.00
2022/04/27	12.41	13.36	12.18	13.36	418253535	6051042816.00
2022/04/28	12.89	13.84	12.83	13.84	365473667	5461584896.00
2022/04/29	14.38	15.39	13.89	15.39	418628343	6848266240.00
2022/05/05	15.43	15.59	14.58	14.58	317221809	5273048064.00
2022/05/06	14.19	15.04	14.03	14.06	294586803	4748173824.00
2022/05/09	13.87	14.77	13.54	14.64	245111428	3856380672.00
2022/05/10	13.78	13.88	13.27	13.59	249675105	3796563200.00
2022/05/11	13.37	14.16	13.28	13.86	232697918	3557673216.00
2022/05/12	14.05	14.13	13.33	13.39	170725354	2601140480.00
2022/05/13	13.61	13.88	13.43	13.64	141844711	2171589120.00
2022/05/16	13.83	14.41	13.81	14.09	185295831	2924531200.00
2022/05/17	14.36	14.66	14.08	14.20	147227293	2345332480.00
2022/05/18	13.99	14.91	13.66	14.53	151514048	2409657344.00
2022/05/19	14.08	14.20	13.80	14.06	118212793	1848521600.00
2022/05/20	13.93	14.43	13.93	14.10	106229956	1678203008.00
2022/05/23	14.04	14.71	13.99	14.53	134552110	2160002304.00
2022/05/24	14.52	14.70	14.23	14.32	106280085	1712440448.00
2022/05/25	14.29	15.33	14.29	15.00	152806425	2531873536.00
2022/05/26	14.93	15.53	14.81	15.20	101501095	1701713280.00
2022/05/27	15.58	16.88	15.58	16.88	242039508	4392283648.00
2022/05/30	16.77	18.05	16.60	17.88	182648507	3450132224.00
2022/05/31	17.88	18.28	17.44	17.85	133607780	2595137792.00
2022/06/01	17.38	17.68	17.08	17.35	95732138	1817650944.00
2022/06/02	17.01	17.03	16.35	16.38	109286991	1994145280.00
2022/06/06	16.88	17.17	16.73	16.95	102094733	1894669696.00
2022/06/07	16.79	17.68	16.73	17.28	95215059	1800841216.00
2022/06/08	17.54	17.83	17.08	17.68	97025042	1856408576.00
2022/06/09	18.08	18.74	17.83	18.10	121973261	2434378496.00
2022/06/10	17.68	18.87	17.68	18.69	88759842	1783177472.00
2022/06/13	18.26	18.56	17.75	17.99	92989185	1830070528.00
2022/06/14	17.79	18.86	17.71	18.78	101313754	2026832896.00
2022/06/15	18.56	18.64	17.76	17.76	121283237	2388819968.00
2022/06/16	17.38	17.64	16.72	16.99	137764417	2570155264.00
2022/06/17	16.85	17.26	16.50	17.03	91223803	1680497664.00
2022/06/20	16.09	16.23	15.18	15.48	175239341	3004438784.00
2022/06/21	15.63	15.91	15.49	15.68	86643588	1501089408.00
2022/06/22	15.53	15.84	15.08	15.14	93453254	1586564864.00
2022/06/23	14.98	15.71	14.98	15.59	81329940	1385697152.00
2022/06/24	15.46	15.63	15.26	15.41	66765632	1136757504.00
2022/06/27	15.50	16.06	15.38	16.00	82767580	1441984256.00
2022/06/28	16.28	16.68	16.28	16.55	85682861	1552423808.00
2022/06/29	16.58	16.80	15.87	16.01	76410807	1362307328.00
2022/06/30	15.83	15.93	15.48	15.83	65983999	1143184128.00
2022/07/01	15.44	15.64	15.28	15.47	52525889	897111104.00
2022/07/04	15.44	15.88	15.44	15.60	53049218	918531072.00
2022/07/05	15.88	15.93	15.50	15.74	56757585	986265984.00
2022/07/06	14.80	14.93	14.08	14.58	170904139	2756730368.00
2022/07/07	14.22	14.53	13.99	14.50	78738201	1250945408.00
2022/07/08	14.89	14.90	14.38	14.41	53222903	862728768.00
2022/07/11	14.41	14.66	14.11	14.59	52193357	835101696.00
2022/07/12	14.43	14.66	14.38	14.60	30076695	486244320.00
2022/07/13	14.08	14.53	13.92	14.53	59910735	947962816.00
2022/07/14	14.46	14.63	14.09	14.57	70528535	1123920896.00
2022/07/15	14.16	14.62	14.05	14.27	84544921	1262768896.00
2022/07/18	14.44	15.17	14.44	15.17	81774227	1269320576.00
2022/07/19	15.36	15.43	14.84	15.11	70531274	1106588544.00
